device,processor,ram,storage,battery,price,antutu_score,category,value_score,rating,height,website_url,image_url,upvotes,reviews,camera
vivo T4 Ultra 5G,Dimensity 9300+,12,512,5500,39999,1210000,Gaming,30.25075627,4.5,16.94 cm (6.67 inch) Full HD+ AMOLED Display,https://www.flipkart.com/vivo-t4-ultra-5g-phoenix-gold-512-gb/p/itm9cfd8118c9ce0?pid=MOBHCJMRYAR6YGYJ&lid=LSTMOBHCJMRYAR6YGYJLHSORW&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_14_313&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=f419d732-9201-4f55-800c-9f04522cabf2.MOBHCJMRYAR6YGYJ.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/v/h/-original-imahd57g62dfepkh.jpeg?q=70,"2,927 Ratings",282 Reviews,50MP + 8MP + 50MP Periscope | 32MP Front Camera
Samsung Galaxy M35 5G,1 YEAR,6,128,6000,16872,520000,Value for Money,30.82029398,4.4,16.76 cm (6.6 inch) Display,https://www.flipkart.com/samsung-galaxy-m35-5g-daybreak-blue-128-gb/p/itmd4d8ef7b859de?pid=MOBH2Y7HKCYDEHFZ&lid=LSTMOBH2Y7HKCYDEHFZ8H4ZC4&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_14_314&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=f419d732-9201-4f55-800c-9f04522cabf2.MOBH2Y7HKCYDEHFZ.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/0/p/-original-imah8pvv5fzp9xcb.jpeg?q=70,"28,568 Ratings","2,168 Reviews",50MP Rear Camera
OPPO Find X9,Dimensity 9500,12,256,7025,74999,1250000,Gaming,16.66688889,4.6,16.74 cm (6.59 inch) Full HD+ AMOLED Display,https://www.flipkart.com/oppo-find-x9-space-black-256-gb/p/itma96fe4cab1395?pid=MOBHGZZ8GH2Z85MY&lid=LSTMOBHGZZ8GH2Z85MYV3X8TO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_14_315&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=f419d732-9201-4f55-800c-9f04522cabf2.MOBHGZZ8GH2Z85MY.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/u/h/-original-imahhx5uvub4udzz.jpeg?q=70,92 Ratings,22 Reviews,50MP + 50MP + 50MP + 2MP | 32MP Front Camera
OPPO K12x 5G ,Dimensity 6300,6,128,5100,12999,600000,Value for Money,46.15739672,4.5,16.94 cm (6.67 inch) HD Display,https://www.flipkart.com/oppo-k12x-5g-45w-supervooc-charger-in-the-box-feather-pink-128-gb/p/itma30cb38861d4c?pid=MOBH4GBFXAJPXAHQ&lid=LSTMOBH4GBFXAJPXAHQP94XCS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_14_316&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=f419d732-9201-4f55-800c-9f04522cabf2.MOBH4GBFXAJPXAHQ.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/o/z/-original-imah4qke9gf7jhfg.jpeg?q=70,"1,92,073 Ratings","6,668 Reviews",32MP + 2MP | 8MP Front Camera
Samsung Galaxy A16 5G,Dimensity 6300,6,128,5000,14139,600000,Value for Money,42.43581583,4.2,17.02 cm (6.7 inch) Full HD+ Display,https://www.flipkart.com/samsung-galaxy-a16-5g-light-green-128-gb/p/itmeb17f7d0c6917?pid=MOBH5JJ4HHYHQJ4H&lid=LSTMOBH5JJ4HHYHQJ4H3CWKIM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_14_317&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=f419d732-9201-4f55-800c-9f04522cabf2.MOBH5JJ4HHYHQJ4H.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/t/q/-original-imahcshuzpekeyap.jpeg?q=70,"3,818 Ratings",168 Reviews,50MP + 5MP + 2MP | 13MP Front Camera
OPPO F29 Pro 5G,Dimensity 7300,8,256,6000,22699,840000,Multitasking,37.00603551,4.4,17.02 cm (6.7 inch) Full HD+ Display,https://www.flipkart.com/oppo-f29-pro-5g-granite-black-256-gb/p/itm46a2f33a4c891?pid=MOBHAFRZE92XBGEV&lid=LSTMOBHAFRZE92XBGEVBAQXHG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_14_318&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=f419d732-9201-4f55-800c-9f04522cabf2.MOBHAFRZE92XBGEV.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/r/v/-original-imahafrewjndpf7b.jpeg?q=70,"1,693 Ratings",124 Reviews,50MP + 2MP | 16MP Front Camera
OPPO Find X9,Dimensity 9500,16,512,7025,84999,1250000,Gaming,14.70605537,4.9,16.74 cm (6.59 inch) Full HD+ AMOLED Display,https://www.flipkart.com/oppo-find-x9-titanium-grey-512-gb/p/itma96fe4cab1395?pid=MOBHGZZ8N3S5DX2G&lid=LSTMOBHGZZ8N3S5DX2GTLRUYC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_14_319&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=f419d732-9201-4f55-800c-9f04522cabf2.MOBHGZZ8N3S5DX2G.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/1/x/-original-imahhx5uhafyxvzb.jpeg?q=70,18 Ratings,10 Reviews,50MP + 50MP + 50MP + 2MP | 32MP Front Camera
Google Pixel 9,Google Tensor G4 Processor,12,256,4700,79999,1060000,Performance,13.25016563,4.6,16.0 cm (6.3 inch) Display,https://www.flipkart.com/google-pixel-9-wintergreen-256-gb/p/itmcead5185c21a8?pid=MOBH2HJG6KBBMPRF&lid=LSTMOBH2HJG6KBBMPRFSGWY5B&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_14_320&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=f419d732-9201-4f55-800c-9f04522cabf2.MOBH2HJG6KBBMPRF.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/p/g/-original-imahggetzh825fge.jpeg?q=70,"17,254 Ratings","1,164 Reviews",50MP + 48MP | 10.5MP Front Camera
realme P3 5G,6 Gen 4,8,128,6000,16999,730000,Value for Money,42.94370257,4.4,16.94 cm (6.67 inch) Full HD+ Display,https://www.flipkart.com/realme-p3-5g-space-silver-128-gb/p/itm69060f73d27e8?pid=MOBHAYN5SGFFG88U&lid=LSTMOBHAYN5SGFFG88U9DP51D&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_14_321&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=f419d732-9201-4f55-800c-9f04522cabf2.MOBHAYN5SGFFG88U.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/c/y/-original-imahaff2rbuykhcw.jpeg?q=70,"21,689 Ratings","1,403 Reviews",50MP + 2MP | 16MP Front Camera
Google Pixel 10 Pro,Tensor G5 Processor,16,256,4870,109999,1250000,Performance,11.36373967,4.6,16.0 cm (6.3 inch) Quad HD+ Display,https://www.flipkart.com/google-pixel-10-pro-obsidian-256-gb/p/itm112fb88d1f5a3?pid=MOBHEXHRWX8JYCZQ&lid=LSTMOBHEXHRWX8JYCZQCARFVQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_14_322&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=f419d732-9201-4f55-800c-9f04522cabf2.MOBHEXHRWX8JYCZQ.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/j/e/-original-imahfjsfygfnyush.jpeg?q=70,257 Ratings,28 Reviews,48MP + 48MP + 48MP | 42MP Front Camera
